STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
20,149,717,822,34,744,0,744,305,248,57,28,34,579,3472,2739,718,2021,766,83,361,11,262,6614,264,2166,152,745,0,1313,29142,51353
20,150,846,385,48,1345,0,1345,213,187,26,14,13,209,2164,3134,1051,2083,640,81,469,1,227,15147,160,2384,376,1344,0,1900,21210,52310
17,151,398,412,33,159,0,159,178,114,64,61,9,203,1832,2507,640,1867,1747,70,356,27,76,9579,56,692,59,1035,5,50,15158,34702
4,152,214,11,4,199,0,199,281,246,35,51,1,55,265,432,53,379,184,47,66,8,82,252,14,91,0,402,0,184,1662,4505
17,153,439,282,28,229,0,229,226,177,49,48,7,256,1454,2749,912,1837,3401,101,444,21,89,9739,73,954,2,648,0,1,23788,44979
33,154,317,113,94,190,0,190,180,91,89,20,3,51,348,523,158,365,93,105,192,5,40,426,136,215,10,130,0,517,1843,5551
2,155,1270,739,32,368,0,368,907,531,376,96,0,207,2777,11077,2820,8257,973,350,2694,171,419,13543,262,1381,2179,3283,0,8168,24575,75471
29,156,512,506,34,738,0,738,1709,1389,320,23,51,385,2857,6881,2340,4541,1836,400,3523,26,438,19974,78,1264,22,5473,0,2393,18445,67568
22,157,285,156,5,29,0,29,67,11,56,0,59,0,57,187,35,152,12,7,33,8,19,47,0,12,0,2,0,1,567,1553
29,158,339,424,14,360,0,360,388,222,166,10,4,53,1155,2357,520,1837,505,108,3335,9,164,7861,133,418,4,2840,0,1530,11938,33949
22,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,9
14,159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,14
12,160,5,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,19,23,0,0,0,0,0,0,0,0,0,3,54
31,161,816,662,6,197,0,197,524,389,135,104,5,592,2861,10673,3884,6789,2580,195,1139,49,174,13866,103,912,219,973,0,8862,53511,99023
31,162,261,281,1,100,0,100,172,81,91,23,0,347,1773,10784,3937,6847,795,190,1249,335,75,2583,42,245,117,570,0,2941,29658,52542
35,163,485,577,115,1217,0,1217,1130,1036,94,42,29,90,118,2288,503,1785,737,152,433,47,81,1268,139,1005,12,3925,0,1065,11463,26418
28,164,127,226,9,71,0,71,146,122,24,5,48,46,358,1063,395,668,0,45,802,18,14,440,19,31,5,293,0,218,1620,5604
28,165,72,136,21,70,0,70,141,109,32,7,18,60,517,1425,641,784,0,39,673,8,21,506,15,63,10,263,0,266,1455,5786
28,166,245,253,37,172,0,172,369,283,86,11,37,64,628,1885,950,935,0,118,1086,9,18,682,33,84,37,363,0,753,3257,10141
10,167,4,20,0,4,0,4,4,1,3,0,0,1,0,17,0,17,0,0,218,21,0,0,0,0,0,0,0,0,104,393
15,168,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,349,0,0,0,0,0,0,0,0,0,7,369
15,170,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,66,612,1,0,0,0,0,0,0,0,0,1,686
33,171,95,119,39,76,0,76,283,263,20,1,3,36,142,329,146,183,150,57,110,3,5,599,42,109,0,118,0,328,1367,4011
31,172,720,1368,19,294,0,294,630,534,96,39,2,281,1382,5424,1742,3682,2168,23,269,24,429,10813,105,619,408,470,0,4918,57162,87567
2,173,1196,506,38,298,0,298,653,522,131,39,0,106,1549,4530,1283,3247,1326,336,1894,48,337,14301,146,1708,538,1790,0,4815,21993,58147
26,174,468,816,138,422,0,422,577,508,69,169,25,1134,2615,5931,1884,4047,726,162,831,5,232,1301,409,451,60,1382,0,3061,19987,40902
2,175,1810,914,96,641,0,641,1398,857,541,141,7,765,11946,29665,10842,18823,559,1174,11423,88,491,32697,437,1372,3168,8932,4,10314,23701,141743
8,176,108,31,3,56,0,56,141,94,47,40,0,30,388,773,289,484,260,163,171,14,55,318,1,50,4,38,0,148,1859,4651
12,177,496,181,21,87,0,87,418,389,29,356,12,551,1006,1845,943,902,608,121,65,29,286,4181,0,246,1,328,0,544,9036,20418
35,178,369,764,156,473,0,473,710,600,110,16,167,73,63,1539,255,1284,313,116,212,35,54,1526,138,733,13,2149,0,906,6943,17468
17,179,386,429,8,127,0,127,132,70,62,66,2,290,2343,2768,1347,1421,2468,95,910,77,235,5393,20,479,39,489,0,116,25409,42281
9,180,64,32,2,17,0,17,25,11,14,32,1,18,423,486,295,191,214,59,62,10,30,159,2,15,1,18,0,255,473,2398
20,181,565,684,0,567,0,567,195,137,58,16,23,284,1640,1828,594,1234,239,40,187,7,177,14382,310,1865,0,828,0,718,10234,34789
7,182,790,696,1,136,0,136,93,60,33,146,3,39,551,608,115,493,230,19,67,5,135,652,7,143,9,50,0,441,3271,8092
5,183,767,1423,155,583,0,583,1104,672,432,261,22,341,855,3464,637,2827,3654,1141,1626,77,340,3814,396,547,4,1648,12,1270,21879,45383
35,184,583,35,211,400,0,400,491,462,29,60,362,149,100,5760,1418,4342,449,327,207,55,70,5390,33,486,27,1346,1,1545,6408,24495
4,185,471,122,6,784,0,784,1079,941,138,165,9,188,1291,2036,201,1835,675,404,482,40,186,3235,60,1438,5,1645,0,1125,5432,20878
20,186,603,617,0,287,0,287,226,131,95,16,40,449,1204,1750,416,1334,350,29,175,0,128,4920,122,787,0,333,0,818,14556,27410
29,187,355,262,20,185,0,185,758,508,250,11,19,151,1071,7905,4092,3813,1319,149,2697,11,181,1099,141,273,0,1363,0,2443,30684,51097
17,188,422,270,55,171,0,171,221,174,47,59,18,344,1949,3296,1124,2172,2944,151,647,36,10,6103,106,873,25,1092,0,38,17337,36167
26,189,205,289,5,202,0,202,244,183,61,60,49,414,1377,5925,3278,2647,283,58,731,15,56,3699,95,274,51,248,0,858,6096,21234
26,190,117,96,75,96,0,96,149,132,17,52,36,300,621,2784,1416,1368,149,32,267,0,17,126,41,114,12,439,0,675,5013,11211
34,191,424,508,99,284,0,284,641,555,86,52,13,361,1519,5234,2092,3142,1216,446,2025,79,50,2325,101,259,631,1224,0,1687,5681,24859
