STATE_UT,SUM(MURDER)
35,42112
1,320
2,63512
33,130886
12,27550
21,65534
24,806
29,31682
18,9466
20,56798
34,5896
13,20927
28,18986
15,12608
26,28906
3,1682
5,82490
31,40254
14,2908
17,39874
7,24069
4,30826
22,3910
16,38120
10,12410
6,486
8,216
9,136
32,4044
25,2086
30,332
0,0
23,3460
27,714
19,6
11,974
