STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
MIZORAM,AIZAWL,141,127,35,345,0,345,38,1,37,8,0,52,2316,5201,321,4880,16,144,453,74,109,445,0,362,2,36,0,180,2602,12686
MIZORAM,CHAMPHAI,55,24,9,122,0,122,7,1,6,1,0,5,517,830,26,804,3,19,58,14,18,147,0,88,0,0,0,16,392,2325
MIZORAM,KOLASIB,50,16,4,80,0,80,16,1,15,16,0,9,321,819,35,784,3,32,47,7,43,132,0,81,1,2,0,52,603,2334
MIZORAM,LAWNGTLAI,42,14,2,40,0,40,6,1,5,4,0,6,231,416,23,393,6,16,46,7,8,80,2,32,1,0,0,20,656,1635
MIZORAM,LUNGLEI,39,30,5,104,0,104,10,0,10,4,0,15,673,1402,43,1359,6,36,74,7,34,120,0,107,1,0,0,11,476,3154
MIZORAM,MAMIT,30,17,5,47,1,46,8,0,8,9,0,21,191,244,1,243,2,7,17,8,24,87,0,29,0,15,2,19,166,948
MIZORAM,SAIHA,25,15,6,33,0,33,8,4,4,2,0,4,261,552,6,546,10,13,32,3,18,124,2,64,1,0,0,10,778,1961
MIZORAM,SERCHHIP,21,15,1,55,0,55,3,2,1,1,0,2,238,339,9,330,2,14,16,1,13,81,0,53,0,1,1,7,239,1103
MIZORAM,TOTAL,403,258,67,826,1,825,96,10,86,45,0,114,4748,9803,464,9339,48,281,743,121,267,1216,4,816,6,54,3,315,5912,26146
NAGALAND,DIMAPUR,323,83,16,63,0,63,225,38,187,44,0,729,466,1828,613,1215,8,84,139,23,24,131,0,50,5,7,1,232,934,5415
NAGALAND,KIPHIRE,17,6,2,2,0,2,4,1,3,3,0,7,9,42,1,41,0,0,3,2,0,1,0,0,0,0,0,0,97,195
NAGALAND,KOHIMA,224,105,20,63,0,63,66,10,56,30,0,135,223,716,382,334,1,34,130,11,1,58,0,17,0,2,0,25,849,2710
NAGALAND,MOKOKCHUNG,94,33,19,12,0,12,26,1,25,6,0,35,82,164,43,121,9,2,27,2,15,64,0,5,3,0,0,52,190,840
NAGALAND,MON,84,37,11,13,0,13,13,5,8,19,0,36,64,204,19,185,2,9,22,3,5,65,0,3,0,0,0,24,157,771
NAGALAND,PEREN,50,32,4,7,0,7,7,0,7,1,0,9,41,75,6,69,0,2,7,1,2,23,0,6,1,0,0,5,50,323
NAGALAND,PHEK,63,49,16,18,0,18,16,1,15,12,0,26,57,96,6,90,3,8,10,2,6,60,0,10,0,0,0,0,151,603
NAGALAND,TUENSANG,55,24,6,10,0,10,9,0,9,1,0,20,58,90,0,90,29,12,17,6,5,5,0,3,0,0,0,11,198,559
NAGALAND,WOKHA,67,54,2,13,0,13,18,8,10,6,0,22,32,371,20,351,11,11,10,2,12,78,0,2,1,0,0,20,170,902
NAGALAND,ZUNHEBOTO,58,32,3,18,0,18,6,6,0,3,0,22,112,200,28,172,1,3,11,2,0,44,0,0,0,0,0,3,213,731
NAGALAND,TOTAL,1038,464,101,220,0,220,392,71,321,125,0,1042,1146,3802,1118,2684,65,165,379,54,70,532,0,96,10,9,1,372,3050,13133
ODISHA,ANGUL,598,639,11,483,0,483,337,303,34,162,16,619,1379,3750,715,3035,1433,96,451,2,215,549,164,2049,75,686,0,2084,12902,28700
ODISHA,BALASORE,459,405,18,661,0,661,724,643,81,149,28,510,2127,3322,755,2567,640,252,684,28,277,9038,449,1600,259,1666,0,12,12476,35784
ODISHA,BARAGARH,383,700,33,285,0,285,166,144,22,95,6,401,898,1962,477,1485,1118,88,303,13,208,607,101,932,106,938,0,1396,6865,17604
ODISHA,BERHAMPUR,244,716,15,153,0,153,171,119,52,92,75,601,1036,2058,876,1182,458,115,525,3,122,1926,70,1136,71,412,0,819,4611,15429
ODISHA,BHADRAK,366,383,18,459,0,459,402,376,26,53,4,214,784,1297,269,1028,471,112,492,10,196,301,233,866,148,1056,0,804,13487,22156
ODISHA,BOLANGIR,413,734,25,453,0,453,287,227,60,73,4,396,1006,1777,371,1406,1024,111,554,11,159,1164,82,1635,113,533,0,804,9981,21339
ODISHA,BOUDH,145,103,1,89,0,89,67,57,10,8,0,62,262,415,28,387,277,42,45,4,124,1520,19,516,33,138,0,93,1344,5307
ODISHA,CUTTACK,468,816,138,422,0,422,577,508,69,169,25,1134,2615,5931,1884,4047,726,162,831,5,232,1301,409,451,60,1382,0,3061,19987,40902
ODISHA,DEOGARH,188,187,2,148,0,148,82,65,17,66,9,127,277,377,42,335,188,30,89,1,57,2057,24,691,26,162,0,374,1202,6364
ODISHA,DHENKANAL,494,603,3,244,0,244,272,226,46,100,6,518,848,2001,371,1630,1100,107,337,3,239,806,177,1831,118,333,0,1091,7924,19155
ODISHA,GAJAPATI,166,117,6,103,0,103,94,78,16,18,0,32,247,346,57,289,442,37,107,2,158,460,15,425,35,107,0,319,1799,5035
ODISHA,GANJAM,831,1558,24,414,0,414,370,279,91,158,58,633,1509,1892,414,1478,1243,192,328,2,365,2997,253,2671,157,345,0,1326,7072,24398
ODISHA,JAGATSINGHPUR,321,232,27,259,0,259,333,274,59,123,18,458,929,1982,433,1549,308,92,333,1,135,1587,189,171,21,570,0,1937,7127,17153
ODISHA,JAJPUR,518,314,0,332,0,332,458,427,31,133,1,500,1287,2734,695,2039,616,141,354,6,167,6818,342,709,68,918,0,1908,6283,24607
ODISHA,JHARSUGUDA,237,262,12,170,0,170,102,79,23,80,24,344,933,2248,625,1623,458,115,232,6,105,3228,33,568,53,251,0,1464,2999,13924
ODISHA,KALAHANDI,330,291,11,436,0,436,253,234,19,71,3,358,717,979,168,811,881,93,641,10,87,2346,81,744,91,500,0,600,5495,15018
ODISHA,KANDHAMAL,308,157,5,368,0,368,265,235,30,31,1,171,644,822,83,739,1095,76,311,3,476,3871,46,1022,65,483,0,29,1188,11437
ODISHA,KENDRAPARA,439,317,6,307,0,307,335,308,27,101,29,363,926,1243,289,954,280,43,203,9,152,739,351,178,187,463,0,289,8715,15675
ODISHA,KEONJHAR,993,836,79,627,0,627,438,391,47,161,16,667,1032,2808,648,2160,864,238,335,16,254,1778,191,1777,182,656,0,3477,8562,25987
